Neeya 2,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/neeya-2-et00071907-05-03-2018-03-13-35.jpg,"Neeya 2 is a Tamil movie starring Raai Laxmi, Jai and Catherine Tresa. It is a drama directed by L. K. Suresh.",N/A,N/A,2115,0
Nagakanya,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/nagakanya-et00101105-18-04-2019-04-55-44.jpg,Nagakanya is a Telugu movie starring Jai and Raai Laxmi in prominent roles. It is a drama directed by Suresh.,N/A,N/A,333,0
Khananam,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/khananam-et00100808-15-04-2019-11-15-37.jpg,Khananam is a Telugu movie starring Aryavardan and Karishma Baruah in prominent roles. It is a drama directed by Raadha.,https://www.imdb.com/videoplayer/vi2049377305?playlistId=tt1188996&ref_=tt_ov_vi,N/A,234,0
66 Sadashiv,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/66-sadashiv-et00101662-26-04-2019-07-37-40.jpg,"66 Sadashiv is an emotional yet humorous story of Prabhakar Shrikhande, a typical Punekar who starts an institute to spread the awareness about mastering the techniques of a new art form and is trying to gain recognition for the same.",N/A,N/A,50,0
Ek Hota Pani,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/ek-hota-pani-et00099851-29-03-2019-05-29-09.jpg,"In a village plagued by water scarcity, an illegal racket of profiteers divert the government water tankers. With the help of a news reporter, the villagers decide to take on the racket and put an end to the injustice.",N/A,N/A,263,0
Sorry,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/sorry-et00072695-17-03-2018-11-48-03.jpg,"It is a story of Sorry, a young college student, who aspires to become a writer. However, while penning down his play, he starts living in one of his characters. Will he be able to find his real identity?",https://www.imdb.com/videoplayer/vi4247304729?playlistId=tt6461412&ref_=tt_ov_vi,N/A,1337,0
Khanana,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/khanana-et00100807-15-04-2019-10-58-50.jpg,"Khanana is a suspense thriller that follows the story of Ajay, a celebrated architect who loses it all and subsequently sets on a path of vengeance and redemption. Directed by Raadha, the movie stars Aryavardan in the lead role.",N/A,N/A,205,0
Traya,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/traya-et00101636-26-04-2019-03-13-44.jpg,"Traya is a Kannada movie starring Samyukta Hornad, Vijay Chendur, Amogha Rahul and Neethu Bala in prominent roles. It is a drama directed by Krishna Sai with Yathish Mahadev as musician, forming part of the crew.",N/A,N/A,10,0
Soojidaara,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/soojidaara-et00101391-23-04-2019-06-10-49.jpg,"After being accused of a crime he didn`t commit, a man flees from his hometown and assumes a false identity. He finds refuge in the house of a woman named Padma, and soon finds out that the story of her past is strangely related to his own.",N/A,N/A,720,0
Anushka,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/anushka-et00098933-18-03-2019-12-31-03.jpg,Anushka is a Kannada movie starring Rupesh Shetty and Amrutha in prominent roles. It is a drama directed by Devaraj Kumar.,N/A,N/A,2481,0
Jeem Boom Bhaa,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/jeem-boom-bhaa-et00099230-19-03-2019-10-22-57.jpg,"Jeem Boom Bhaa is a comedy thriller that tells the story of three friends who are troubled by three different problems, and how they solve them all on an eventful new year`s eve. Directed by Rahul Ramachandra, the film stars Askar Ali in the lead role.",N/A,N/A,553,0
Lukan Michi,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/lukan-michi-et00096887-19-02-2019-01-08-06.jpg,"When the prospects of getting married to the love of his life is crushed by a long-standing family feud and a grumpy older brother who is unmarried, a youngster sets out with a scheme to solve everybody`s problems. Directed by M. Hundal, Lukan Michi stars Preet Harpal and Mandy Takhar in the lead roles.",N/A,N/A,300,0
15 Lakh Kadon Aauga,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/15-lakh-kadon-aauga-et00101730-29-04-2019-04-58-37.jpg,"15 lakh kadon aauga is a Punjabi movie starring Ravinder Grewal, Pooja Verma and Hobby Dhaliwal in prominent roles. It is a drama directed by Manpreet Brar with Sanjay Sankla as editor, forming part of the crew.",N/A,N/A,6,0
Konttho,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/kontho-et00078508-26-06-2018-09-53-44.jpg,"Arjun Mallik is a popular RJ who is not only famous but well-loved. His listeners connect with him personally and his voice is music to their ears. However, his perfect life comes to an absolute halt when he is diagnosed with throat cancer. A story of hope, a story of friendship, a story of struggle - Konttho, is about the indomitable human spirit.",N/A,N/A,1036,0
